dataset,method,n_clusters,n_classes,largest_cluster_frac,cluster_collapse,cluster_degenerate,unique_mapped_classes,mapping_collapse,unassigned_clusters,train_majority_baseline,majority_baseline,gt_accuracy,pseudo_accuracy,lse_ratio,lse_lift,beats_majority,matches_majority,gt_beats_majority,nmi_train,failed,error
GesturePhaseSegmentationProcessed_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,dictlearn,5.0,5.0,0.463125,False,False,5.0,False,0.0,0.29875,0.3,0.5625,0.35,0.622222,0.190476,True,False,True,0.036885,,
PriceRunner,,,,,,,,,,,,,,,,,,,,True,dataset_timeout_over_300s
Loan_Status,kmeans,2.0,2.0,0.507444,False,False,2.0,False,0.0,0.777778,0.777778,0.927556,0.732778,0.79001,-0.300445,False,False,True,0.311834,,
Loan_Status,dbscan,299.0,2.0,0.01075,False,False,2.0,False,297.0,0.777778,0.777778,0.927556,0.825111,0.889554,0.316024,True,False,True,0.075558,,
Loan_Status,agg,2.0,2.0,0.907361,False,True,2.0,False,0.0,0.777778,0.777778,0.927556,0.726444,0.783182,-0.34273,False,False,True,1e-06,,
Loan_Status,gmm,2.0,2.0,0.507389,False,False,2.0,False,0.0,0.777778,0.777778,0.927556,0.732778,0.79001,-0.300445,False,False,True,0.311779,,
Loan_Status,autoenc,2.0,2.0,0.5205,False,False,2.0,False,0.0,0.777778,0.777778,0.927556,0.516333,0.55666,-1.745549,False,False,True,0.002326,,
Loan_Status,dictlearn,2.0,2.0,0.997306,False,True,2.0,False,0.0,0.777778,0.777778,0.927556,0.777111,0.837805,-0.004451,False,True,True,0.000301,,
website_phishing,kmeans,3.0,3.0,0.516636,False,False,3.0,False,0.0,0.519409,0.516605,0.867159,0.726937,0.838298,0.6,True,False,True,0.385402,,
website_phishing,dbscan,6.0,3.0,0.891867,False,False,3.0,False,3.0,0.519409,0.516605,0.867159,0.501845,0.578723,-0.042105,False,False,True,0.050031,,
website_phishing,agg,3.0,3.0,0.461183,False,False,3.0,False,0.0,0.519409,0.516605,0.867159,0.734317,0.846809,0.621053,True,False,True,0.291949,,
website_phishing,gmm,3.0,3.0,0.53512,False,False,3.0,False,0.0,0.519409,0.516605,0.867159,0.494465,0.570213,-0.063158,False,False,True,0.152688,,
website_phishing,autoenc,3.0,3.0,0.489834,False,False,3.0,False,0.0,0.519409,0.516605,0.867159,0.730627,0.842553,0.610526,True,False,True,0.266186,,
website_phishing,dictlearn,3.0,3.0,0.539741,False,False,3.0,False,0.0,0.519409,0.516605,0.867159,0.490775,0.565957,-0.073684,False,False,True,0.038672,,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,kmeans,6.0,6.0,0.423125,False,False,6.0,False,0.0,0.4175,0.4175,0.5825,0.2425,0.416309,-1.060606,False,False,True,0.047355,,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,dbscan,9.0,6.0,0.875,False,False,6.0,False,3.0,0.4175,0.4175,0.5825,0.4475,0.76824,0.181818,True,False,True,0.060561,,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,agg,6.0,6.0,0.4375,False,False,6.0,False,0.0,0.4175,0.4175,0.5825,0.2225,0.381974,-1.181818,False,False,True,0.050324,,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,gmm,6.0,6.0,0.43875,False,False,6.0,False,0.0,0.4175,0.4175,0.5825,0.3525,0.60515,-0.393939,False,False,True,0.032374,,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,autoenc,6.0,6.0,0.525,False,False,6.0,False,0.0,0.4175,0.4175,0.5825,0.27,0.463519,-0.893939,False,False,True,0.0497,,
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,dictlearn,6.0,6.0,0.386875,False,False,6.0,False,0.0,0.4175,0.4175,0.5825,0.31,0.532189,-0.651515,False,False,True,0.028382,,
anneal,kmeans,5.0,5.0,0.582173,False,False,5.0,False,0.0,0.761838,0.761111,1.0,0.616667,0.616667,-0.604651,False,False,True,0.292965,,
anneal,dbscan,22.0,5.0,0.633705,False,False,5.0,False,17.0,0.761838,0.761111,1.0,0.805556,0.805556,0.186047,True,False,True,0.250189,,
anneal,agg,5.0,5.0,0.643454,False,False,5.0,False,0.0,0.761838,0.761111,1.0,0.683333,0.683333,-0.325581,False,False,True,0.366369,,
anneal,gmm,5.0,5.0,0.523677,False,False,5.0,False,0.0,0.761838,0.761111,1.0,0.516667,0.516667,-1.023256,False,False,True,0.319859,,
anneal,autoenc,5.0,5.0,0.469359,False,False,5.0,False,0.0,0.761838,0.761111,1.0,0.55,0.55,-0.883721,False,False,True,0.312191,,
anneal,dictlearn,5.0,5.0,0.623955,False,False,5.0,False,0.0,0.761838,0.761111,1.0,0.577778,0.577778,-0.767442,False,False,True,0.242462,,
anneal,kmeans,2.0,2.0,0.924791,False,True,2.0,False,0.0,0.541783,0.538889,1.0,0.5,0.5,-0.084337,False,False,True,0.000185,,
anneal,dbscan,20.0,2.0,0.664345,False,False,2.0,False,18.0,0.541783,0.538889,1.0,0.661111,0.661111,0.26506,True,False,True,0.06807,,
anneal,agg,2.0,2.0,0.930362,False,True,2.0,False,0.0,0.541783,0.538889,1.0,0.5,0.5,-0.084337,False,False,True,0.000106,,
anneal,gmm,2.0,2.0,0.735376,False,False,2.0,False,0.0,0.541783,0.538889,1.0,0.711111,0.711111,0.373494,True,False,True,0.121675,,
anneal,autoenc,2.0,2.0,0.902507,False,True,2.0,False,0.0,0.541783,0.538889,1.0,0.505556,0.505556,-0.072289,False,False,True,7.5e-05,,
anneal,dictlearn,2.0,2.0,0.809192,False,False,2.0,False,0.0,0.541783,0.538889,1.0,0.5,0.5,-0.084337,False,False,True,0.009938,,
amazon_employee_access,,,,,,,,,,,,,,,,,,,,True,dataset_timeout_over_300s
KDDCup09_upselling,kmeans,2.0,2.0,0.68323,False,False,2.0,False,0.0,0.500124,0.500497,0.812314,0.532274,0.655257,0.101911,True,False,True,0.002025,,
KDDCup09_upselling,dbscan,12.0,2.0,0.905839,False,True,2.0,False,10.0,0.500124,0.500497,0.812314,0.51142,0.629584,0.035032,True,False,True,0.015511,,
KDDCup09_upselling,agg,2.0,2.0,0.678758,False,False,2.0,False,0.0,0.500124,0.500497,0.812314,0.528302,0.650367,0.089172,True,False,True,0.004493,,
KDDCup09_upselling,gmm,2.0,2.0,0.679006,False,False,2.0,False,0.0,0.500124,0.500497,0.812314,0.530288,0.652812,0.095541,True,False,True,0.001726,,
KDDCup09_upselling,autoenc,2.0,2.0,0.938634,False,True,2.0,False,0.0,0.500124,0.500497,0.812314,0.509434,0.627139,0.028662,False,True,True,0.002584,,
KDDCup09_upselling,dictlearn,2.0,2.0,0.641739,False,False,2.0,False,0.0,0.500124,0.500497,0.812314,0.571996,0.704156,0.229299,True,False,True,0.007655,,
Cardiovascular-Disease-dataset,kmeans,2.0,2.0,0.885161,False,False,2.0,False,0.0,0.500304,0.500286,0.710643,0.499857,0.703387,-0.002037,False,True,True,0.000141,,
Cardiovascular-Disease-dataset,dbscan,113.0,2.0,0.342464,False,False,2.0,False,111.0,0.500304,0.500286,0.710643,0.579143,0.814956,0.374873,True,False,True,0.019188,,
Cardiovascular-Disease-dataset,agg,2.0,2.0,0.88725,False,False,2.0,False,0.0,0.500304,0.500286,0.710643,0.501643,0.7059,0.006452,False,True,True,0.000257,,
Cardiovascular-Disease-dataset,gmm,2.0,2.0,0.780929,False,False,2.0,False,0.0,0.500304,0.500286,0.710643,0.573214,0.806614,0.346689,True,False,True,0.02938,,
Cardiovascular-Disease-dataset,autoenc,2.0,2.0,0.688804,False,False,2.0,False,0.0,0.500304,0.500286,0.710643,0.581,0.81757,0.383701,True,False,True,0.023862,,
Cardiovascular-Disease-dataset,dictlearn,2.0,2.0,0.822821,False,False,2.0,False,0.0,0.500304,0.500286,0.710643,0.549143,0.772741,0.232258,True,False,True,0.017751,,
MiniBooNE,,,,,,,,,,,,,,,,,,,,True,dataset_timeout_over_300s
kdd_ipums_la_97-small_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,kmeans,2.0,2.0,0.805625,False,False,2.0,False,0.0,0.5,0.5,0.855,0.71,0.830409,0.591549,True,False,True,0.267215,,
kdd_ipums_la_97-small_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,dbscan,9.0,2.0,0.220625,False,False,2.0,False,7.0,0.5,0.5,0.855,0.7225,0.845029,0.626761,True,False,True,0.135664,,
kdd_ipums_la_97-small_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,agg,2.0,2.0,0.805625,False,False,2.0,False,0.0,0.5,0.5,0.855,0.71,0.830409,0.591549,True,False,True,0.267215,,
kdd_ipums_la_97-small_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,gmm,2.0,2.0,0.805625,False,False,2.0,False,0.0,0.5,0.5,0.855,0.71,0.830409,0.591549,True,False,True,0.267215,,
kdd_ipums_la_97-small_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,autoenc,2.0,2.0,0.805,False,False,2.0,False,0.0,0.5,0.5,0.855,0.71,0.830409,0.591549,True,False,True,0.268037,,
kdd_ipums_la_97-small_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,dictlearn,2.0,2.0,0.658125,False,False,2.0,False,0.0,0.5,0.5,0.855,0.64,0.748538,0.394366,True,False,True,0.029934,,
puma8NH,kmeans,2.0,2.0,0.507096,False,False,2.0,False,0.0,0.502213,0.502135,0.826724,0.499085,0.60369,-0.009398,False,True,True,8.9e-05,,
puma8NH,dbscan,3.0,2.0,0.999237,False,True,2.0,False,1.0,0.502213,0.502135,0.826724,0.502135,0.60738,0.0,False,True,True,0.000901,,
puma8NH,agg,2.0,2.0,0.620021,False,False,2.0,False,0.0,0.502213,0.502135,0.826724,0.563758,0.681919,0.18985,True,False,True,0.00829,,
puma8NH,gmm,2.0,2.0,0.501602,False,False,2.0,False,0.0,0.502213,0.502135,0.826724,0.663819,0.802952,0.49812,True,False,True,0.072004,,
puma8NH,autoenc,2.0,2.0,0.537464,False,False,2.0,False,0.0,0.502213,0.502135,0.826724,0.545455,0.659779,0.133459,True,False,True,0.005718,,
puma8NH,dictlearn,2.0,2.0,0.724401,False,False,2.0,False,0.0,0.502213,0.502135,0.826724,0.506406,0.612546,0.013158,False,True,True,8.2e-05,,
pwLinear,kmeans,2.0,2.0,0.50625,False,False,2.0,False,0.0,0.5125,0.525,0.875,0.775,0.885714,0.714286,True,False,True,0.374761,,
pwLinear,dbscan,2.0,2.0,0.94375,False,True,2.0,False,0.0,0.5125,0.525,0.875,0.525,0.6,0.0,False,True,True,0.000488,,
pwLinear,agg,2.0,2.0,0.6375,False,False,2.0,False,0.0,0.5125,0.525,0.875,0.675,0.771429,0.428571,True,False,True,0.026836,,
pwLinear,gmm,2.0,2.0,0.50625,False,False,2.0,False,0.0,0.5125,0.525,0.875,0.775,0.885714,0.714286,True,False,True,0.374761,,
pwLinear,autoenc,2.0,2.0,0.5125,False,False,2.0,False,0.0,0.5125,0.525,0.875,0.575,0.657143,0.142857,True,False,True,0.016459,,
pwLinear,dictlearn,2.0,2.0,0.7375,False,False,2.0,False,0.0,0.5125,0.525,0.875,0.5,0.571429,-0.071429,False,False,True,0.000175,,
monks-problems-3,kmeans,2.0,2.0,0.501129,False,False,2.0,False,0.0,0.519187,0.522523,0.990991,0.495495,0.5,-0.057692,False,False,True,9.3e-05,,
monks-problems-3,dbscan,15.0,2.0,0.121896,False,False,2.0,False,13.0,0.519187,0.522523,0.990991,0.972973,0.981818,0.961538,True,False,True,0.356493,,
monks-problems-3,agg,2.0,2.0,0.75395,False,False,2.0,False,0.0,0.519187,0.522523,0.990991,0.576577,0.581818,0.115385,True,False,True,0.024117,,
monks-problems-3,gmm,2.0,2.0,0.501129,False,False,2.0,False,0.0,0.519187,0.522523,0.990991,0.495495,0.5,-0.057692,False,False,True,9.3e-05,,
monks-problems-3,autoenc,2.0,2.0,0.505643,False,False,2.0,False,0.0,0.519187,0.522523,0.990991,0.711712,0.718182,0.403846,True,False,True,0.047736,,
monks-problems-3,dictlearn,2.0,2.0,0.501129,False,False,2.0,False,0.0,0.519187,0.522523,0.990991,0.432432,0.436364,-0.192308,False,False,True,9.3e-05,,
fri_c3_500_25,kmeans,2.0,2.0,0.6325,False,False,2.0,False,0.0,0.56,0.56,0.84,0.59,0.702381,0.107143,True,False,True,0.014384,,
fri_c3_500_25,dbscan,2.0,2.0,0.6325,False,False,2.0,False,0.0,0.56,0.56,0.84,0.59,0.702381,0.107143,True,False,True,0.014384,,
fri_c3_500_25,agg,2.0,2.0,0.7475,False,False,2.0,False,0.0,0.56,0.56,0.84,0.54,0.642857,-0.071429,False,False,True,0.006109,,
fri_c3_500_25,gmm,2.0,2.0,0.5725,False,False,2.0,False,0.0,0.56,0.56,0.84,0.7,0.833333,0.5,True,False,True,0.050599,,
fri_c3_500_25,autoenc,2.0,2.0,0.59,False,False,2.0,False,0.0,0.56,0.56,0.84,0.59,0.702381,0.107143,True,False,True,0.012679,,
fri_c3_500_25,dictlearn,2.0,2.0,0.665,False,False,2.0,False,0.0,0.56,0.56,0.84,0.54,0.642857,-0.071429,False,False,True,0.000755,,
Student_Performance_on_an_Entrance_Examination,kmeans,4.0,4.0,0.419173,False,False,4.0,False,0.0,0.315789,0.313433,0.552239,0.402985,0.72973,0.375,True,False,True,0.019353,,
Student_Performance_on_an_Entrance_Examination,dbscan,3.0,4.0,0.956767,True,True,3.0,True,0.0,0.315789,0.313433,0.552239,0.335821,0.608108,0.09375,True,False,True,0.01064,,
Student_Performance_on_an_Entrance_Examination,agg,4.0,4.0,0.554511,False,False,4.0,False,0.0,0.315789,0.313433,0.552239,0.283582,0.513514,-0.125,False,False,True,0.027371,,
Student_Performance_on_an_Entrance_Examination,gmm,4.0,4.0,0.719925,False,False,4.0,False,0.0,0.315789,0.313433,0.552239,0.380597,0.689189,0.28125,True,False,True,0.007354,,
Student_Performance_on_an_Entrance_Examination,autoenc,4.0,4.0,0.441729,False,False,4.0,False,0.0,0.315789,0.313433,0.552239,0.41791,0.756757,0.4375,True,False,True,0.017827,,
Student_Performance_on_an_Entrance_Examination,dictlearn,4.0,4.0,0.353383,False,False,4.0,False,0.0,0.315789,0.313433,0.552239,0.410448,0.743243,0.40625,True,False,True,0.00637,,
Diabetes130US,kmeans,2.0,2.0,0.600401,False,False,2.0,False,0.0,0.5,0.5,0.562878,0.537066,0.954142,0.589485,True,False,True,0.006607,,
Diabetes130US,dbscan,58.0,2.0,0.616841,False,False,2.0,False,56.0,0.5,0.5,0.562878,0.595724,1.058353,1.522371,True,False,True,0.024568,,
Diabetes130US,agg,2.0,2.0,0.56214,False,False,2.0,False,0.0,0.5,0.5,0.562878,0.556407,0.988504,0.897092,True,False,True,0.010227,,
Diabetes130US,gmm,2.0,2.0,0.815129,False,False,2.0,False,0.0,0.5,0.5,0.562878,0.555774,0.98738,0.887025,True,False,True,0.018933,,
Diabetes130US,autoenc,2.0,2.0,0.775355,False,False,2.0,False,0.0,0.5,0.5,0.562878,0.53369,0.948144,0.535794,True,False,True,0.007613,,
Diabetes130US,dictlearn,2.0,2.0,0.929385,False,True,2.0,False,0.0,0.5,0.5,0.562878,0.521592,0.926653,0.3434,True,False,True,0.007134,,
heloc,kmeans,2.0,2.0,0.943125,False,True,2.0,False,0.0,0.5,0.5,0.7195,0.504,0.700486,0.018223,False,True,True,0.000115,,
heloc,dbscan,2.0,2.0,0.943125,False,True,2.0,False,0.0,0.5,0.5,0.7195,0.504,0.700486,0.018223,False,True,True,0.000115,,
heloc,agg,2.0,2.0,0.943125,False,True,2.0,False,0.0,0.5,0.5,0.7195,0.504,0.700486,0.018223,False,True,True,0.000115,,
heloc,gmm,2.0,2.0,0.943125,False,True,2.0,False,0.0,0.5,0.5,0.7195,0.504,0.700486,0.018223,False,True,True,0.000115,,
heloc,autoenc,2.0,2.0,0.943125,False,True,2.0,False,0.0,0.5,0.5,0.7195,0.504,0.700486,0.018223,False,True,True,0.000115,,
heloc,dictlearn,2.0,2.0,0.680875,False,False,2.0,False,0.0,0.5,0.5,0.7195,0.506,0.703266,0.027335,False,True,True,0.000825,,
pendigits,kmeans,10.0,10.0,0.218924,False,False,10.0,False,0.0,0.10406,0.104138,0.991814,0.681673,0.687299,0.650615,True,False,True,0.698608,,
pendigits,dbscan,17.0,10.0,0.615603,False,False,10.0,False,7.0,0.10406,0.104138,0.991814,0.324238,0.326914,0.247951,True,False,True,0.505847,,
pendigits,agg,10.0,10.0,0.213238,False,False,10.0,False,0.0,0.10406,0.104138,0.991814,0.693952,0.699679,0.664447,True,False,True,0.749857,,
pendigits,gmm,10.0,10.0,0.146139,False,False,10.0,False,0.0,0.10406,0.104138,0.991814,0.814916,0.821641,0.800717,True,False,True,0.778199,,
pendigits,autoenc,10.0,10.0,0.216763,False,False,10.0,False,0.0,0.10406,0.104138,0.991814,0.678945,0.684548,0.647541,True,False,True,0.713374,,
pendigits,dictlearn,10.0,10.0,0.187877,False,False,10.0,False,0.0,0.10406,0.104138,0.991814,0.570259,0.574966,0.525102,True,False,True,0.577888,,
